"ticker";"idorden";"nada";"fondo";"accion";"porcentaje";"mes";"ano";"id";"ultimo";"previo";"repercusion";"diahora"
"HD";31;"";"BOLSAINTERNACIONAL";"THE HOME DEPOT INC USD 729 1,08 -- --";1.03;"Diciembre";2023;244;369.05;370.87;-0.505460134278856;2024-09-11 12:54:50
"HD";8961;"29";"BESTIDEAS";"Home depot";1.603467139;"165.53311";309;244;369.05;370.87;-0.78688224795211;2024-09-11 12:54:50
"HDM.DU";NA;"";"BOLSAINTERNACIONAL";"HONDA MOTOR JPY 1.405 0,51 -- --";0.51;"Diciembre";2023;245;9.2;9.122;0.43608857706643;2024-09-11 12:54:50
"HEI.DE";NA;"";"BOLSAEUROPA";"HEIDELBERG MAT EUR 86 0,11 -- --";0.11;"Diciembre";2023;246;90.88;90.68;0.0242611380679298;2024-09-11 12:54:50
"HEIA.AS";NA;"";"BOLSAINTERNACIONAL";"HEINEKEN NV EUR 942 0,43 -- --";0.5;"Diciembre";2023;247;82.36;81.86;0.305399462496946;2024-09-11 12:54:50
"HEIA.AS";31;"";"GLOBAL";"HEINEKEN NV EUR 13.055 2,65 13.374 2,49";2.58;"Agosto";2024;247;82.36;81.86;1.57586122648424;2024-09-11 12:54:50
"HIA1.MU";NA;"";"BOLSAINTERNACIONAL";"HITACHI JPY 1.430 0,52 -- --";0.52;"Diciembre";2023;248;20.7;20.57;0.328633932912005;2024-09-11 12:54:50
"HLN.L";NA;"Estimado";"BOLSAEUROPA";"HALEON PLC GBP 556 0,70 -- --";1.96;"Junio";2024;249;394;394.8;-0.397163120567382;2024-09-11 12:54:50
"HNK1.F";31;"";"BOLSAEUROPA";"HEINEKEN";2.27;"Agosto";2024;250;82.5;81.56;2.61623344776851;2024-09-11 12:54:50
"HOT.DE";31;"";"SECTORINMOBILIARIO";"HOCHTIEF AG EUR 105 0,61 -- --";0.41;"Diciembre";2023;251;106.8;106.7;0.0384254920337373;2024-09-11 12:54:50
"HPE";31;"";"TECNOLOGICO";"HEWLETT PACKAR ENTER USD 6.956 1,64 -- --";1.71;"Diciembre";2023;252;16.3;16.1;2.12422360248446;2024-09-11 12:54:50
"HSBA.L";31;"";"BOLSAINTERNACIONAL";"HSBC HOLDINGS GBP 561 0,64 -- --";1.07;"Diciembre";2023;253;649.1;649;0.0164869029275846;2024-09-11 12:54:50
"HSBA.L";31;"Estimado";"FINANCIERO";"HSBC HOLDINGS GBP 68 0,82 73 0,86";2.58;"Diciembre";2023;253;649.1;649;0.03975346687212;2024-09-11 12:54:50
"HSBA.L";31;"";"BOLSAEUROPA";"HSBC HOLDINGS GBP 930 1,07 1.089 1,18";1.33;"Diciembre";2023;253;649.1;649;0.0204930662557828;2024-09-11 12:54:50
"HWDN.L";31;"";"SMALLCAPS";"HOWDEN JOINERY GBP 2.583 1,56 2.311 1,54";1.34;"Diciembre";2023;254;938.5;956;-2.45292887029289;2024-09-11 12:54:50
"IAG.MC";16;"";"BOLSAESPANA";"INTERNATIONAL CONSOL EUR 2.166 3,64 1.728 2,59";1.46;"Diciembre";2023;255;2.29;2.278;0.769095697980686;2024-09-11 12:54:50
