"fondo";"ticker";"porcentaje"
"BOLSAINTERNACIONAL";"HDM.DU";0.51
"BOLSAEUROPA";"HEI.DE";0.11
"BOLSAINTERNACIONAL";"HEIA.AS";0.5
"GLOBAL";"HEIA.AS";2.58
"BOLSAINTERNACIONAL";"HIA1.MU";0.52
"BOLSAEUROPA";"HLN.L";1.96
"BOLSAEUROPA";"HNK1.F";2.27
"SECTORINMOBILIARIO";"HOT.DE";0.41
"TECNOLOGICO";"HPE";1.71
"BOLSAINTERNACIONAL";"HSBA.L";1.07
"FINANCIERO";"HSBA.L";2.58
"BOLSAEUROPA";"HSBA.L";1.33
"SMALLCAPS";"HWDN.L";1.34
"BOLSAESPANA";"IAG.MC";1.46
"BESTIDEAS";"IBE.MC";17.56838834
"BOLSAINTERNACIONAL";"IBE.MC";1.47
"NEWENERGY";"IBE.MC";4.73
"BOLSAEUROPA";"IBE.MC";1.94
"DIVIDENDO";"IBE.MC";2.35
"BOLSAESPANA";"IBE.MC";9.67
"TECNOLOGICO";"IBM";1.65
"BOLSAUSA";"IBM";0.37
"BOLSAINTERNACIONAL";"IBM";0.7
"SMALLCAPS";"ICOS.MI";1.88
"BOLSAESPANA";"IDR.MC";1.32
"FINANCIERO";"IESJ.F";0.98
"TECNOLOGICO";"IFX.DE";0.99
"NEWENERGY";"IFX.DE";3.01
"SANIDAD";"ILMN";0.37
"SMALLCAPS";"INCH.L";0.67
"FINANCIERO";"INGA.AS";3.89
"BOLSAINTERNACIONAL";"INGA.AS";2.04
"BOLSAEUROPA";"INGA.AS";1.1
"SMALLCAPS";"INRN.SW";1.52
"BOLSAUSA";"INTC";0.58
"SECTORINMOBILIARIO";"INVH";2.42
"SANIDAD";"IQV";1.78
"SANIDAD";"ISRG";3.14
"GLOBAL";"ISRG";1.37
"BOLSAINTERNACIONAL";"ISRG";0.8
"BOLSAEUROPA";"ITKA.MU";0.66
"GLOBAL";"ITX.MC";0.92
"BOLSAESPANA";"ITX.MC";9.37
"SANIDAD";"JAZZ";0.23
"GLOBAL";"JNJ";2.05
"BOLSAINTERNACIONAL";"JNJ";1.24
"SANIDAD";"JNJ";2.61
"BESTIDEAS";"JNJ";3.101718491
"DIVIDENDO";"JNJ";2.35
"BOLSAUSA";"JNJ";1.67
"FINANCIERO";"JPM";7.01
"BOLSAUSA";"JPM";1.82
"BOLSAINTERNACIONAL";"JPM";2.62
"SMALLCAPS";"KARN.SW";1.18
"SMALLCAPS";"KCR.HE";2.35
"BOLSAINTERNACIONAL";"KER.PA";0.51
"GLOBAL";"KHC";2.37
"BOLSAINTERNACIONAL";"KO";0.76
"BOLSAUSA";"KO";1.19
"GLOBAL";"KO";2.52
"DIVIDENDO";"KO";2.88
"DIVIDENDO";"KPN.AS";1.39
"MEGATRENDS";"KRZ.IR";3.16
"BOLSAUSA";"KTF.F";1.41
"BOLSAEUROPA";"KYL.F";2.34
"SMALLCAPS";"LDO.MI";1.95
"SECTORINMOBILIARIO";"LEG.DE";2.06
"NEWENERGY";"LIN";1.93
"BOLSAINTERNACIONAL";"LIN.DE";0.68
"SANIDAD";"LLY";9.36
"GLOBAL";"LLY";1.8
"BOLSAUSA";"LLY";1.35
"BOLSAINTERNACIONAL";"LLY";1.25
"SECTORINMOBILIARIO";"LNG";2.21
"BESTIDEAS";"LOG.MC";1.078354466
"BOLSAESPANA";"LOG.MC";1.61
"MEGATRENDS";"LOGI";2.43
"BOLSAEUROPA";"LONNE.SW";1.43
"BOLSAINTERNACIONAL";"LOR.F";1.87
"SMALLCAPS";"LPE.PA";1.16
"NEWENERGY";"LR.PA";2.03
"BOLSAINTERNACIONAL";"LRCX";0.78
"GLOBAL";"LRCX";2.51
"FINANCIERO";"LSEG.L";0.69
"BOLSAUSA";"MA";1.89
"FINANCIERO";"MA";4.88
"BOLSAINTERNACIONAL";"MA";1.74
"BOLSAESPANA";"MAP.MC";2.28
"BESTIDEAS";"MAP.MC";1.062894187
"BESTIDEAS";"MAR";2.02683543
"BOLSAEUROPA";"MBG.DE";0.63
"BESTIDEAS";"MC.PA";5.908975925
"GLOBAL";"MC.PA";2.37
"BOLSAINTERNACIONAL";"MC.PA";1.74
"BOLSAEUROPA";"MC.PA";1.97
"GLOBAL";"MCD";1.74
"BOLSAUSA";"MCD";0.89
"BOLSAINTERNACIONAL";"MCD";0.83
"SMALLCAPS";"MCM.MC";0.9
"BOLSAESPANA";"MCM.MC";0.97
"FINANCIERO";"MCO";2.29
"GLOBAL";"MDT";2.37
"SANIDAD";"MDT";2.46
"DIVIDENDO";"MDT";2.54
"BOLSAUSA";"MET";0.15
"BOLSAUSA";"META";3.03
"GLOBAL";"META";0.97
"TECNOLOGICO";"META";7.05
"BOLSAINTERNACIONAL";"META";2.34
"BOLSAUSA";"MMM";0.37
"GLOBAL";"MOV.F";1.39
"SANIDAD";"MRK";5.42
"BOLSAINTERNACIONAL";"MRK";1.01
"MEGATRENDS";"MRK";3.63
"GLOBAL";"MRK";0.9
